dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
08/08/2022,8,8,2022,11,3,Belgium,BE,BEL,11522440,Europe
07/08/2022,7,8,2022,424,6,Belgium,BE,BEL,11522440,Europe
06/08/2022,6,8,2022,1056,5,Belgium,BE,BEL,11522440,Europe
05/08/2022,5,8,2022,2515,9,Belgium,BE,BEL,11522440,Europe
04/08/2022,4,8,2022,2761,11,Belgium,BE,BEL,11522440,Europe
03/08/2022,3,8,2022,3195,10,Belgium,BE,BEL,11522440,Europe
02/08/2022,2,8,2022,3595,10,Belgium,BE,BEL,11522440,Europe
01/08/2022,1,8,2022,5484,10,Belgium,BE,BEL,11522440,Europe
31/07/2022,31,7,2022,1039,8,Belgium,BE,BEL,11522440,Europe
30/07/2022,30,7,2022,1714,9,Belgium,BE,BEL,11522440,Europe
29/07/2022,29,7,2022,3587,11,Belgium,BE,BEL,11522440,Europe
28/07/2022,28,7,2022,3872,9,Belgium,BE,BEL,11522440,Europe
27/07/2022,27,7,2022,4510,14,Belgium,BE,BEL,11522440,Europe
26/07/2022,26,7,2022,4979,16,Belgium,BE,BEL,11522440,Europe
25/07/2022,25,7,2022,7194,15,Belgium,BE,BEL,11522440,Europe
24/07/2022,24,7,2022,1366,17,Belgium,BE,BEL,11522440,Europe
23/07/2022,23,7,2022,2363,16,Belgium,BE,BEL,11522440,Europe
22/07/2022,22,7,2022,5687,5,Belgium,BE,BEL,11522440,Europe
21/07/2022,21,7,2022,1332,13,Belgium,BE,BEL,11522440,Europe
20/07/2022,20,7,2022,5187,10,Belgium,BE,BEL,11522440,Europe
19/07/2022,19,7,2022,5418,13,Belgium,BE,BEL,11522440,Europe
18/07/2022,18,7,2022,7993,17,Belgium,BE,BEL,11522440,Europe
17/07/2022,17,7,2022,1453,10,Belgium,BE,BEL,11522440,Europe
16/07/2022,16,7,2022,2972,9,Belgium,BE,BEL,11522440,Europe
15/07/2022,15,7,2022,6435,9,Belgium,BE,BEL,11522440,Europe
14/07/2022,14,7,2022,7084,14,Belgium,BE,BEL,11522440,Europe
13/07/2022,13,7,2022,8474,10,Belgium,BE,BEL,11522440,Europe
12/07/2022,12,7,2022,9228,9,Belgium,BE,BEL,11522440,Europe
11/07/2022,11,7,2022,12397,12,Belgium,BE,BEL,11522440,Europe
