"time","cases"
"2021-05-17",1532
"2021-05-24",1124
"2021-05-31",837
"2021-06-07",481
"2021-06-14",189
"2021-06-21",146
"2021-06-28",281
"2021-07-05",423
"2021-07-12",598
"2021-07-19",788
"2021-07-26",1001
"2021-05-17",3067
"2021-05-24",2234
"2021-05-31",1555
"2021-06-07",877
"2021-06-14",575
"2021-06-21",518
"2021-06-28",1445
"2021-07-05",3287
"2021-07-12",3880
"2021-07-19",3443
"2021-07-26",3355
"2021-05-17",6808
"2021-05-24",4901
"2021-05-31",3678
"2021-06-07",2209
"2021-06-14",1306
"2021-06-21",1086
"2021-06-28",1528
"2021-07-05",2560
"2021-07-12",3223
"2021-07-19",3896
"2021-07-26",4431
"2021-05-17",2705
"2021-05-24",1869
"2021-05-31",1407
"2021-06-07",781
"2021-06-14",414
"2021-06-21",319
"2021-06-28",340
"2021-07-05",597
"2021-07-12",892
"2021-07-19",996
"2021-07-26",1033
"2021-05-17",800
"2021-05-24",544
"2021-05-31",386
"2021-06-07",243
"2021-06-14",149
"2021-06-21",98
"2021-06-28",99
"2021-07-05",153
"2021-07-12",213
"2021-07-19",237
"2021-07-26",276
"2021-05-17",380
"2021-05-24",265
"2021-05-31",216
"2021-06-07",131
"2021-06-14",93
"2021-06-21",60
"2021-06-28",58
"2021-07-05",71
"2021-07-12",95
"2021-07-19",162
"2021-07-26",140
