"","country_code","year_week","time","variant","cases"
"1","BE","2021-20","2021-05-17","B.1.1.7",1574
"2","BE","2021-20","2021-05-17","B.1.1.7+E484K",12
"3","BE","2021-20","2021-05-17","B.1.351",16
"4","BE","2021-20","2021-05-17","B.1.617.2",156
"5","BE","2021-20","2021-05-17","B.1.620",1
"6","BE","2021-20","2021-05-17","B.1.621",1
"7","BE","2021-20","2021-05-17","Other",128
"8","BE","2021-20","2021-05-17","P.1",188
"9","BE","2021-20","2021-05-17","UNK",6
"10","BE","2021-21","2021-05-24","B.1.1.7",1136
"11","BE","2021-21","2021-05-24","B.1.1.7+E484K",1
"12","BE","2021-21","2021-05-24","B.1.351",14
"13","BE","2021-21","2021-05-24","B.1.525",1
"14","BE","2021-21","2021-05-24","B.1.617.2",115
"15","BE","2021-21","2021-05-24","B.1.620",1
"16","BE","2021-21","2021-05-24","B.1.621",1
"17","BE","2021-21","2021-05-24","Other",69
"18","BE","2021-21","2021-05-24","P.1",137
"19","BE","2021-21","2021-05-24","UNK",3
"20","BE","2021-22","2021-05-31","B.1.1.7",1035
"21","BE","2021-22","2021-05-31","B.1.1.7+E484K",1
"22","BE","2021-22","2021-05-31","B.1.351",15
"23","BE","2021-22","2021-05-31","B.1.617.1",1
"24","BE","2021-22","2021-05-31","B.1.617.2",152
"25","BE","2021-22","2021-05-31","B.1.620",3
"26","BE","2021-22","2021-05-31","B.1.621",1
"27","BE","2021-22","2021-05-31","Other",36
"28","BE","2021-22","2021-05-31","P.1",156
"29","BE","2021-22","2021-05-31","UNK",17
"30","BE","2021-23","2021-06-07","B.1.1.7",686
"31","BE","2021-23","2021-06-07","B.1.1.7+E484K",3
"32","BE","2021-23","2021-06-07","B.1.351",10
"33","BE","2021-23","2021-06-07","B.1.617.2",168
"34","BE","2021-23","2021-06-07","B.1.620",3
"35","BE","2021-23","2021-06-07","B.1.621",8
"36","BE","2021-23","2021-06-07","Other",36
"37","BE","2021-23","2021-06-07","P.1",79
"38","BE","2021-23","2021-06-07","UNK",5
"39","BE","2021-24","2021-06-14","B.1.1.7",382
"40","BE","2021-24","2021-06-14","B.1.1.7+E484K",1
"41","BE","2021-24","2021-06-14","B.1.351",6
"42","BE","2021-24","2021-06-14","B.1.525",1
"43","BE","2021-24","2021-06-14","B.1.617.2",225
"44","BE","2021-24","2021-06-14","B.1.621",3
"45","BE","2021-24","2021-06-14","C.37",1
"46","BE","2021-24","2021-06-14","Other",17
"47","BE","2021-24","2021-06-14","P.1",52
"48","BE","2021-24","2021-06-14","UNK",2
"49","BE","2021-25","2021-06-21","B.1.1.7",290
"50","BE","2021-25","2021-06-21","B.1.1.7+E484K",2
"51","BE","2021-25","2021-06-21","B.1.351",6
"52","BE","2021-25","2021-06-21","B.1.525",1
"53","BE","2021-25","2021-06-21","B.1.617.2",385
"54","BE","2021-25","2021-06-21","B.1.621",2
"55","BE","2021-25","2021-06-21","C.37",1
"56","BE","2021-25","2021-06-21","Other",12
"57","BE","2021-25","2021-06-21","P.1",31
"58","BE","2021-25","2021-06-21","P.3",1
"59","BE","2021-25","2021-06-21","UNK",3
"60","BE","2021-26","2021-06-28","AT.1",2
"61","BE","2021-26","2021-06-28","B.1.1.7",236
"62","BE","2021-26","2021-06-28","B.1.351",4
"63","BE","2021-26","2021-06-28","B.1.617.2",708
"64","BE","2021-26","2021-06-28","B.1.620",1
"65","BE","2021-26","2021-06-28","B.1.621",1
"66","BE","2021-26","2021-06-28","C.37",1
"67","BE","2021-26","2021-06-28","Other",33
